商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
090,0,STELLA VOLANTE,48,1.9,PZ,999,,📦,48,,/images/090.jpg
091,0,U F O,48,1.59,PZ,999,,📦,48,,/images/091.jpg
093,0,BIG MAGIC CRACKLING,56,2.53,PZ,999,,📦,56,,/images/093.jpg
094,0,NEW  GRANATA,72,1.11,PZ,999,,📦,72,,/images/094.jpg
098,0,GUERRE STELLARI,10,8.76,PZ,999,,📦,10,,/images/098.jpg
101,0,TOM MIX,160,1.03,PZ,999,,📦,160,,/images/101.jpg
102,0,LIBELLULINA,100,1.07,PZ,999,,📦,100,,/images/102.jpg
0103,0,LIBELLULA GIGANTE,36,2.61,PZ,999,,📦,36,,/images/0103.jpg
106X,0,FIORELLINO 3 COLORI              1350PZ,450,0.34,PZ,999,,📦,450,,/images/106X.jpg
108B,0,BOOM   NEW,160,0.78,PZ,999,,📦,160,,/images/108B.jpg
109,0,NEW  MAGNUM,30,2.21,PZ,999,,📦,30,,/images/109.jpg
109B,0,NEW  MAGNUM,100,1.14,PZ,999,,📦,100,,/images/109B.jpg
110,0,MINI CICCIOLO,240,0.31,PZ,999,,📦,240,,/images/110.jpg
111,0,RAUDO,160,0.5,PZ,999,,📦,160,,/images/111.jpg
120,0,FUMOGENI,36,4.56,PZ,999,,📦,36,,/images/120.jpg
121,0,PALLINA FUMOGENA,240,0.5,PZ,999,,📦,240,,/images/121.jpg
122,0,METEORITE,200,0.67,PZ,999,,📦,200,,/images/122.jpg
123,0,PALLINA SCOPPIETTANTE,192,0.45,PZ,999,,📦,192,,/images/123.jpg
126,0,RAMBO 200 SHOTS,50,1.25,PZ,999,,📦,50,,/images/126.jpg
127,0,RAMBO 500 SHOTS,32,2.96,PZ,999,,📦,32,,/images/127.jpg
128,0,POP POP,300,0.2,PZ,999,,📦,300,,/images/128.jpg
128B,0,POP POP  BIG,180,0.34,PZ,999,,📦,180,,/images/128B.jpg
129,0,MAGIC WHIP 30 CM,80,1.53,PZ,999,,📦,80,,/images/129.jpg
204,0,CANDELA MAGICA   38 CM,100,0.56,PZ,999,,📦,100,,/images/204.jpg
116B,0,BOTTIGLIETTA,48,1.24,PZ,999,,📦,48,,/images/116B.jpg
118B,0,PISTOLA LANCIA STELLE FILANTI,48,2.56,PZ,999,,📦,48,,/images/118B.jpg
202,0,STELLE MAGICHE    25 cm.,200,0.37,PZ,999,,📦,200,,/images/202.jpg
203,0,CANDELA MAGICA   30 CM,80,0.51,PZ,999,,📦,80,,/images/203.jpg
203A,0,CANDELA MAGICA   30 CM,25,1.89,PZ,999,,📦,25,,/images/203A.jpg
204A,0,CANDELA MAGICA   38 CM,20,3.18,PZ,999,,📦,20,,/images/204A.jpg
205,0,CANDELA MAGICA   50 CM,72,0.7,PZ,999,,📦,72,,/images/205.jpg
211,0,MORNING GLORY 30 CM,180,0.78,PZ,999,,📦,180,,/images/211.jpg
216,0,MAGIC FLAMBE',120,1.04,PZ,999,,📦,120,,/images/216.jpg
217,0,SUPER CONETTO  Cinese,48,1.54,PZ,999,,📦,48,,/images/217.jpg
208,0,BENGALA  TRICOLORE,12,5.35,PZ,999,,📦,12,,/images/208.jpg
212,0,BENGALA CALIFORNIA,24,2.78,PZ,999,,📦,24,,/images/212.jpg
213,0,BENGALA  Pioggia Scoppiettante,36,2.62,PZ,999,,📦,36,,/images/213.jpg
229,0,FONTANA CUCKOO,24,3.52,PZ,999,,📦,24,,/images/229.jpg
125A,0,FONTANA SUPER FLASH,72,2.5,PZ,999,,📦,72,,/images/125A.jpg
